Sample ID,Depth_cm,Latitude,Longitude
T1,66,44.963973,-111.079092
T2,50,44.963971,-111.079051
T3,80,44.963993,-111.07903
T4,78,44.963998,-111.079011
T5,58,44.964028,-111.079019
T6,61,44.964051,-111.079041
T7,60,44.964063,-111.079051
T8,66,44.964084,-111.079099
T9,52,44.964083,-111.079139
T10,60,44.964061,-111.079139
T11,64,44.96408,-111.079141
T12,56,44.964052,-111.079199
T13,21,44.964034,-111.079189
T14,57,44.963994,-111.07921
T15,51,44.963971,-111.079216
T16,70,44.963945,-111.079178
T17,65,44.963944,-111.079159
T18,51,44.963942,-111.079121
T19,57,44.96394,-111.07909
T20,63,44.963952,-111.079072
